Turn,Rep_Fraud,NoRep_Fraud,Rep_Price,NoRep_Price
0,0.5011,0.5011,0.999569,0.999569
1,0.5126,0.5117,0.999147,0.999147
2,0.528,0.524,0.998734,0.998734
3,0.5293,0.5271,0.998329,0.998329
4,0.5463,0.5444,0.997932,0.997932
5,0.5461,0.5467,0.997545,0.997545
6,0.5549,0.5504,0.997165,0.997165
7,0.5578,0.5527,0.996794,0.996794
8,0.5626,0.559,0.996432,0.996432
9,0.5658,0.5683,0.996078,0.996078
10,0.5752,0.5707,0.995732,0.995732
11,0.5767,0.5769,0.995395,0.995395
12,0.5804,0.5862,0.995066,0.995066
13,0.5803,0.5834,0.994746,0.994746
14,0.5894,0.5935,0.994434,0.994434
15,0.5858,0.5952,0.99413,0.99413
16,0.5855,0.5974,0.993835,0.993835
17,0.5906,0.5988,0.993548,0.993548
18,0.5886,0.6051,0.99327,0.99327
19,0.5922,0.6063,0.993,0.993
20,0.5993,0.6116,0.992738,0.992738
21,0.6008,0.616,0.992484,0.992484
22,0.5968,0.6197,0.992239,0.992239
23,0.5968,0.6213,0.992002,0.992002
24,0.5998,0.6264,0.991774,0.991774
25,0.5975,0.6255,0.991553,0.991553
26,0.5995,0.6292,0.991342,0.991342
27,0.6024,0.6332,0.991138,0.991138
28,0.6022,0.6269,0.990942,0.990942
29,0.6049,0.6375,0.990755,0.990755
30,0.5942,0.6315,0.990576,0.990576
31,0.5969,0.6444,0.990406,0.990406
32,0.5908,0.6396,0.990243,0.990243
33,0.5952,0.6376,0.990089,0.990089
34,0.5939,0.6481,0.989943,0.989943
35,0.5943,0.6394,0.989805,0.989805
36,0.5953,0.645,0.989676,0.989676
37,0.5874,0.644,0.989554,0.989554
38,0.5891,0.6467,0.989441,0.989441
39,0.5983,0.6525,0.989336,0.989336
40,0.5904,0.6484,0.989239,0.989239
41,0.5874,0.6514,0.98915,0.98915
42,0.5797,0.6484,0.98907,0.98907
43,0.578,0.648,0.988998,0.988998
44,0.5804,0.6529,0.988933,0.988933
45,0.5778,0.6482,0.988877,0.988877
46,0.5694,0.6453,0.98883,0.98883
47,0.5737,0.6459,0.98879,0.98879
48,0.5773,0.6481,0.988758,0.988758
49,0.5779,0.6376,0.988735,0.988735
50,0.5649,0.642,0.988719,0.988719
51,0.5733,0.6468,0.988712,0.988712
52,0.5655,0.6455,0.988713,0.988713
53,0.5642,0.641,0.988722,0.988722
54,0.5658,0.6415,0.988739,0.988739
55,0.5591,0.6337,0.988765,0.988765
56,0.5603,0.6398,0.988798,0.988798
57,0.5541,0.6395,0.98884,0.98884
58,0.5459,0.6389,0.988889,0.988889
59,0.5551,0.6338,0.988947,0.988947
60,0.5419,0.6285,0.989013,0.989013
61,0.548,0.6327,0.989087,0.989087
62,0.5389,0.6319,0.989169,0.989169
63,0.5456,0.6272,0.989259,0.989259
64,0.536,0.631,0.989357,0.989357
65,0.5281,0.6261,0.989463,0.989463
66,0.5387,0.623,0.989578,0.989578
67,0.5346,0.6182,0.9897,0.9897
68,0.5282,0.6183,0.989831,0.989831
69,0.5221,0.6192,0.989969,0.989969
70,0.519,0.6134,0.990116,0.990116
71,0.5188,0.6071,0.990271,0.990271
72,0.5212,0.6097,0.990434,0.990434
73,0.5087,0.6041,0.990605,0.990605
74,0.5039,0.6022,0.990784,0.990784
75,0.5099,0.601,0.990971,0.990971
76,0.5009,0.5972,0.991166,0.991166
77,0.4969,0.5871,0.99137,0.99137
78,0.4972,0.5866,0.991581,0.991581
79,0.4919,0.5838,0.991801,0.991801
80,0.4926,0.5826,0.992028,0.992028
81,0.4812,0.5759,0.992264,0.992264
82,0.4835,0.5742,0.992508,0.992508
83,0.4836,0.567,0.99276,0.99276
84,0.4762,0.5674,0.99302,0.99302
85,0.4696,0.5592,0.993288,0.993288
86,0.4778,0.5626,0.993564,0.993564
87,0.4684,0.5593,0.993849,0.993849
88,0.4603,0.5475,0.994141,0.994141
89,0.4612,0.5449,0.994442,0.994442
90,0.449,0.5401,0.99475,0.99475
91,0.4505,0.5412,0.995067,0.995067
92,0.4519,0.536,0.995392,0.995392
93,0.4521,0.5271,0.995725,0.995725
94,0.4414,0.524,0.996066,0.996066
95,0.4432,0.5187,0.996416,0.996416
96,0.4318,0.5225,0.996773,0.996773
97,0.4332,0.5108,0.997139,0.997139
98,0.4346,0.5176,0.997513,0.997513
99,0.4252,0.5093,0.997895,0.997895
100,0.4267,0.5079,0.998285,0.998285
101,0.421,0.4983,0.998683,0.998683
102,0.4138,0.4974,0.99909,0.99909
103,0.4203,0.4989,0.999504,0.999504
104,0.4223,0.4993,0.999927,0.999927
105,0.4089,0.4938,1.00036,1.00036
106,0.4063,0.4842,1.0008,1.0008
107,0.4045,0.4772,1.00124,1.00124
108,0.3953,0.4722,1.0017,1.0017
109,0.4008,0.4657,1.00216,1.00216
110,0.3884,0.4643,1.00264,1.00264
111,0.391,0.4613,1.00312,1.00312
112,0.3878,0.4526,1.0036,1.0036
113,0.39,0.45,1.0041,1.0041
114,0.3755,0.45,1.00461,1.00461
115,0.3792,0.4479,1.00512,1.00512
116,0.3733,0.4448,1.00564,1.00564
117,0.3703,0.4354,1.00617,1.00617
118,0.3701,0.436,1.00671,1.00671
119,0.3706,0.4265,1.00726,1.00726
120,0.3624,0.4233,1.00781,1.00781
121,0.3598,0.4195,1.00837,1.00837
122,0.3613,0.4186,1.00894,1.00894
123,0.3563,0.4114,1.00952,1.00952
124,0.3522,0.4025,1.01011,1.01011
125,0.3493,0.4024,1.01071,1.01071
126,0.3508,0.3949,1.01131,1.01131
127,0.3506,0.3941,1.01193,1.01193
128,0.3509,0.3891,1.01255,1.01255
129,0.344,0.3791,1.01318,1.01318
130,0.3386,0.3755,1.01382,1.01382
131,0.3343,0.3737,1.01446,1.01446
132,0.3371,0.3667,1.01512,1.01512
133,0.3313,0.3649,1.01578,1.01578
134,0.3282,0.3647,1.01645,1.01645
135,0.3247,0.3566,1.01713,1.01713
136,0.3278,0.358,1.01782,1.01782
137,0.3215,0.347,1.01852,1.01852
138,0.3131,0.3448,1.01922,1.01922
139,0.3128,0.3478,1.01994,1.01994
140,0.3113,0.338,1.02066,1.02066
141,0.3112,0.3299,1.02139,1.02139
142,0.3075,0.3324,1.02213,1.02213
143,0.3058,0.3235,1.02288,1.02288
144,0.2991,0.3257,1.02364,1.02364
145,0.3031,0.3217,1.0244,1.0244
146,0.3029,0.3153,1.02518,1.02518
147,0.2946,0.3106,1.02596,1.02596
148,0.3017,0.3143,1.02675,1.02675
149,0.2909,0.3054,1.02755,1.02755
150,0.2921,0.3065,1.02836,1.02836
151,0.2803,0.2935,1.02918,1.02918
152,0.2889,0.29,1.03,1.03
153,0.2836,0.2888,1.03084,1.03084
154,0.2785,0.2877,1.03168,1.03168
155,0.2745,0.2849,1.03253,1.03253
156,0.2707,0.2783,1.0334,1.0334
157,0.2747,0.2768,1.03426,1.03426
158,0.2681,0.2759,1.03514,1.03514
159,0.2712,0.2702,1.03603,1.03603
160,0.2652,0.2726,1.03693,1.03693
161,0.2621,0.268,1.03783,1.03783
162,0.2601,0.2597,1.03874,1.03874
163,0.2657,0.2591,1.03967,1.03967
164,0.2603,0.2535,1.0406,1.0406
165,0.2623,0.2582,1.04154,1.04154
166,0.254,0.2482,1.04249,1.04249
167,0.2586,0.2511,1.04345,1.04345
168,0.2496,0.242,1.04441,1.04441
169,0.2487,0.2398,1.04539,1.04539
170,0.2481,0.2418,1.04637,1.04637
171,0.247,0.2398,1.04737,1.04737
172,0.2456,0.2348,1.04837,1.04837
173,0.2471,0.23,1.04938,1.04938
174,0.2422,0.2303,1.0504,1.0504
175,0.2506,0.2178,1.05143,1.05143
176,0.2376,0.2231,1.05247,1.05247
177,0.2413,0.2209,1.05352,1.05352
178,0.2372,0.2205,1.05458,1.05458
179,0.2367,0.2123,1.05564,1.05564
180,0.2364,0.2102,1.05672,1.05672
181,0.2307,0.2052,1.0578,1.0578
182,0.2311,0.206,1.0589,1.0589
183,0.2315,0.2035,1.06,1.06
184,0.231,0.2003,1.06111,1.06111
185,0.2318,0.1985,1.06224,1.06224
186,0.2207,0.1989,1.06337,1.06337
187,0.2252,0.1957,1.06451,1.06451
188,0.2226,0.1959,1.06566,1.06566
189,0.2237,0.1898,1.06682,1.06682
190,0.2222,0.1924,1.06799,1.06799
191,0.2165,0.1842,1.06916,1.06916
192,0.2162,0.1822,1.07035,1.07035
193,0.214,0.1839,1.07155,1.07155
194,0.2181,0.1751,1.07275,1.07275
195,0.2194,0.1763,1.07397,1.07397
196,0.2209,0.1784,1.07519,1.07519
197,0.212,0.1704,1.07643,1.07643
198,0.2099,0.1742,1.07767,1.07767
199,0.2127,0.1734,1.07893,1.07893
